Origin,Transit,Airport,Airlines,Destination,Traffic Condition,Weather Condition,Vehicle Available,Personel Available,Runway Occupancy Time,Estimated Time menit,Estimated Time spesifik
Jakarta(CGK),Denpasar (DPS),El Tari Airport (KOE),Garuda Indonesia,NTT,Moderate,Rain,NOO,YESS,108,384,6 jam 24 menit
Jakarta(CGK),Surabaya (SUB),El Tari Airport (KOE),Lion Air,NTT,Normal,Rain,YESS,NOO,119,308,5 jam 8 menit
Jakarta(CGK),Surabaya (SUB),El Tari Airport (KOE),Sriwijaya Air,NTT,Moderate,Rain,YESS,NOO,89,262,4 jam 22 menit
Jakarta(CGK),Surabaya (SUB),El Tari Airport (KOE),Citilink,NTT,Moderate,Rain,NOO,NOO,116,276,4 jam 36 menit
Jakarta(CGK),Surabaya (SUB),El Tari Airport (KOE),AirAsia,NTT,Heavy,Fog,YESS,YESS,74,385,6 jam 25 menit
Jakarta(CGK),Surabaya (SUB),El Tari Airport (KOE),Garuda Indonesia,NTT,Normal,Clear,NOO,NOO,85,435,7 jam 15 menit
Jakarta(CGK),Langsung,Supadio International Airport (PNK),Lion Air,Kalimantan Barat,Normal,Clear,NOO,NOO,60,301,5 jam 1 menit
Jakarta(CGK),Langsung,Supadio International Airport (PNK),Sriwijaya Air,Kalimantan Barat,Heavy,Fog,NOO,YESS,85,152,2 jam 32 menit
Jakarta(CGK),Langsung,Supadio International Airport (PNK),Citilink,Kalimantan Barat,Normal,Rain,YESS,YESS,67,186,3 jam 6 menit
Jakarta(CGK),Langsung,Supadio International Airport (PNK),AirAsia,Kalimantan Barat,Heavy,Clear,NOO,NOO,118,431,7 jam 11 menit
Jakarta(CGK),Langsung,Supadio International Airport (PNK),Garuda Indonesia,Kalimantan Barat,Moderate,Clear,NOO,NOO,103,375,6 jam 15 menit
Jakarta(CGK),Banjarmasin (BDJ),Supadio International Airport (PNK),Lion Air,Kalimantan Barat,Heavy,Clear,NOO,YESS,76,215,3 jam 35 menit
Jakarta(CGK),Banjarmasin (BDJ),Supadio International Airport (PNK),Sriwijaya Air,Kalimantan Barat,Heavy,Fog,YESS,NOO,78,190,3 jam 10 menit
Jakarta(CGK),Banjarmasin (BDJ),Supadio International Airport (PNK),Citilink,Kalimantan Barat,Heavy,Fog,NOO,NOO,58,376,6 jam 16 menit
Jakarta(CGK),Banjarmasin (BDJ),Supadio International Airport (PNK),AirAsia,Kalimantan Barat,Normal,Rain,YESS,YESS,100,153,2 jam 33 menit
Jakarta(CGK),Banjarmasin (BDJ),Supadio International Airport (PNK),Garuda Indonesia,Kalimantan Barat,Moderate,Rain,NOO,YESS,63,260,4 jam 20 menit
Jakarta(CGK),Langsung,Tjilik Riwut Airport (PKY),Lion Air,Kalimantan Tengah,Heavy,Rain,YESS,NOO,58,344,5 jam 44 menit
Jakarta(CGK),Langsung,Tjilik Riwut Airport (PKY),Sriwijaya Air,Kalimantan Tengah,Moderate,Rain,NOO,NOO,55,248,4 jam 8 menit
Jakarta(CGK),Langsung,Tjilik Riwut Airport (PKY),Citilink,Kalimantan Tengah,Moderate,Partly Cloudy,YESS,NOO,81,187,3 jam 7 menit
Jakarta(CGK),Langsung,Tjilik Riwut Airport (PKY),AirAsia,Kalimantan Tengah,Moderate,Partly Cloudy,YESS,NOO,78,148,2 jam 28 menit
Jakarta(CGK),Langsung,Tjilik Riwut Airport (PKY),Garuda Indonesia,Kalimantan Tengah,Normal,Fog,NOO,YESS,105,275,4 jam 35 menit
Jakarta(CGK),Banjarmasin (BDJ),Tjilik Riwut Airport (PKY),Lion Air,Kalimantan Tengah,Moderate,Rain,NOO,NOO,88,314,5 jam 14 menit
Jakarta(CGK),Banjarmasin (BDJ),Tjilik Riwut Airport (PKY),Sriwijaya Air,Kalimantan Tengah,Heavy,Rain,YESS,NOO,114,150,2 jam 30 menit
Jakarta(CGK),Banjarmasin (BDJ),Tjilik Riwut Airport (PKY),Citilink,Kalimantan Tengah,Moderate,Partly Cloudy,YESS,NOO,95,261,4 jam 21 menit
Jakarta(CGK),Banjarmasin (BDJ),Tjilik Riwut Airport (PKY),AirAsia,Kalimantan Tengah,Moderate,Rain,NOO,YESS,93,263,4 jam 23 menit
Jakarta(CGK),Banjarmasin (BDJ),Tjilik Riwut Airport (PKY),Garuda Indonesia,Kalimantan Tengah,Normal,Partly Cloudy,YESS,YESS,114,280,4 jam 40 menit
Jakarta(CGK),Langsung,Syamsudin Noor International Airport (BDJ),Lion Air,Kalimantan Selatan,Heavy,Clear,YESS,YESS,61,405,6 jam 45 menit
Jakarta(CGK),Langsung,Syamsudin Noor International Airport (BDJ),Sriwijaya Air,Kalimantan Selatan,Normal,Partly Cloudy,NOO,YESS,115,216,3 jam 36 menit
Jakarta(CGK),Langsung,Syamsudin Noor International Airport (BDJ),Citilink,Kalimantan Selatan,Heavy,Rain,NOO,NOO,83,401,6 jam 41 menit
Jakarta(CGK),Langsung,Syamsudin Noor International Airport (BDJ),AirAsia,Kalimantan Selatan,Moderate,Fog,NOO,YESS,102,226,3 jam 46 menit
Jakarta(CGK),Langsung,Syamsudin Noor International Airport (BDJ),Garuda Indonesia,Kalimantan Selatan,Normal,Fog,YESS,YESS,75,249,4 jam 9 menit
Jakarta(CGK),Makassar (UPG),Syamsudin Noor International Airport (BDJ),Lion Air,Kalimantan Selatan,Moderate,Partly Cloudy,YESS,NOO,109,316,5 jam 16 menit
Jakarta(CGK),Makassar (UPG),Syamsudin Noor International Airport (BDJ),Sriwijaya Air,Kalimantan Selatan,Normal,Partly Cloudy,YESS,NOO,95,411,6 jam 51 menit
Jakarta(CGK),Makassar (UPG),Syamsudin Noor International Airport (BDJ),Citilink,Kalimantan Selatan,Moderate,Clear,NOO,NOO,93,376,6 jam 16 menit
Jakarta(CGK),Makassar (UPG),Syamsudin Noor International Airport (BDJ),AirAsia,Kalimantan Selatan,Moderate,Rain,NOO,YESS,74,389,6 jam 29 menit
Jakarta(CGK),Makassar (UPG),Syamsudin Noor International Airport (BDJ),Garuda Indonesia,Kalimantan Selatan,Moderate,Rain,YESS,YESS,68,430,7 jam 10 menit
Jakarta(CGK),Langsung,Aji Pangeran Tumenggung Pranoto Airport (AAP),Lion Air,Kalimantan Timur ,Moderate,Clear,YESS,NOO,56,290,4 jam 50 menit
Jakarta(CGK),Langsung,Aji Pangeran Tumenggung Pranoto Airport (AAP),Sriwijaya Air,Kalimantan Timur ,Normal,Fog,NOO,YESS,106,376,6 jam 16 menit
Jakarta(CGK),Langsung,Aji Pangeran Tumenggung Pranoto Airport (AAP),Citilink,Kalimantan Timur ,Heavy,Partly Cloudy,NOO,NOO,106,245,4 jam 5 menit
Jakarta(CGK),Langsung,Aji Pangeran Tumenggung Pranoto Airport (AAP),AirAsia,Kalimantan Timur ,Heavy,Rain,NOO,YESS,65,154,2 jam 34 menit
Jakarta(CGK),Langsung,Aji Pangeran Tumenggung Pranoto Airport (AAP),Garuda Indonesia,Kalimantan Timur ,Moderate,Partly Cloudy,YESS,NOO,59,380,6 jam 20 menit
Jakarta(CGK),Balikpapan (BPN),Aji Pangeran Tumenggung Pranoto Airport (AAP),Lion Air,Kalimantan Timur ,Moderate,Partly Cloudy,YESS,YESS,106,352,5 jam 52 menit
Jakarta(CGK),Balikpapan (BPN),Aji Pangeran Tumenggung Pranoto Airport (AAP),Sriwijaya Air,Kalimantan Timur ,Moderate,Partly Cloudy,YESS,NOO,76,408,6 jam 48 menit
Jakarta(CGK),Balikpapan (BPN),Aji Pangeran Tumenggung Pranoto Airport (AAP),Citilink,Kalimantan Timur ,Moderate,Clear,NOO,NOO,106,205,3 jam 25 menit
Jakarta(CGK),Balikpapan (BPN),Aji Pangeran Tumenggung Pranoto Airport (AAP),AirAsia,Kalimantan Timur ,Heavy,Clear,NOO,NOO,119,361,6 jam 1 menit
Jakarta(CGK),Balikpapan (BPN),Aji Pangeran Tumenggung Pranoto Airport (AAP),Garuda Indonesia,Kalimantan Timur ,Moderate,Clear,NOO,YESS,111,348,5 jam 48 menit
Jakarta(CGK),Balikpapan (BPN),Juwata International Airport (TRK),Lion Air,Kalimantan Utara,Moderate,Clear,NOO,YESS,55,156,2 jam 36 menit
Jakarta(CGK),Balikpapan (BPN),Juwata International Airport (TRK),Sriwijaya Air,Kalimantan Utara,Normal,Fog,NOO,YESS,57,294,4 jam 54 menit
Jakarta(CGK),Balikpapan (BPN),Juwata International Airport (TRK),Citilink,Kalimantan Utara,Heavy,Partly Cloudy,NOO,NOO,84,179,2 jam 59 menit
Jakarta(CGK),Balikpapan (BPN),Juwata International Airport (TRK),AirAsia,Kalimantan Utara,Moderate,Clear,NOO,NOO,88,348,5 jam 48 menit
Jakarta(CGK),Balikpapan (BPN),Juwata International Airport (TRK),Garuda Indonesia,Kalimantan Utara,Normal,Rain,YESS,YESS,93,372,6 jam 12 menit
Jakarta(CGK),Banjarmasin (BDJ),Juwata International Airport (TRK),Lion Air,Kalimantan Utara,Moderate,Partly Cloudy,NOO,NOO,100,201,3 jam 21 menit
Jakarta(CGK),Banjarmasin (BDJ),Juwata International Airport (TRK),Sriwijaya Air,Kalimantan Utara,Normal,Clear,NOO,NOO,118,149,2 jam 29 menit
Jakarta(CGK),Banjarmasin (BDJ),Juwata International Airport (TRK),Citilink,Kalimantan Utara,Moderate,Fog,NOO,YESS,67,380,6 jam 20 menit
Jakarta(CGK),Banjarmasin (BDJ),Juwata International Airport (TRK),AirAsia,Kalimantan Utara,Heavy,Fog,YESS,NOO,118,347,5 jam 47 menit
Jakarta(CGK),Banjarmasin (BDJ),Juwata International Airport (TRK),Garuda Indonesia,Kalimantan Utara,Normal,Rain,YESS,NOO,90,357,5 jam 57 menit
Jakarta(CGK),Langsung,Sam Ratulangi International Airport (MDC),Lion Air,Sulawesi Utara,Normal,Fog,YESS,YESS,116,191,3 jam 11 menit
Jakarta(CGK),Langsung,Sam Ratulangi International Airport (MDC),Sriwijaya Air,Sulawesi Utara,Normal,Fog,YESS,NOO,83,397,6 jam 37 menit
Jakarta(CGK),Langsung,Sam Ratulangi International Airport (MDC),Citilink,Sulawesi Utara,Normal,Fog,YESS,NOO,120,160,2 jam 40 menit
Jakarta(CGK),Langsung,Sam Ratulangi International Airport (MDC),AirAsia,Sulawesi Utara,Moderate,Clear,YESS,NOO,99,204,3 jam 24 menit
Jakarta(CGK),Langsung,Sam Ratulangi International Airport (MDC),Garuda Indonesia,Sulawesi Utara,Moderate,Partly Cloudy,NOO,NOO,70,251,4 jam 11 menit
Jakarta(CGK),Surabaya (SUB),Sam Ratulangi International Airport (MDC),Lion Air,Sulawesi Utara,Moderate,Partly Cloudy,YESS,YESS,115,162,2 jam 42 menit
Jakarta(CGK),Surabaya (SUB),Sam Ratulangi International Airport (MDC),Sriwijaya Air,Sulawesi Utara,Moderate,Clear,NOO,YESS,67,130,2 jam 10 menit
Jakarta(CGK),Surabaya (SUB),Sam Ratulangi International Airport (MDC),Citilink,Sulawesi Utara,Moderate,Partly Cloudy,YESS,NOO,62,330,5 jam 30 menit
Jakarta(CGK),Surabaya (SUB),Sam Ratulangi International Airport (MDC),AirAsia,Sulawesi Utara,Heavy,Rain,NOO,YESS,112,282,4 jam 42 menit
Jakarta(CGK),Surabaya (SUB),Sam Ratulangi International Airport (MDC),Garuda Indonesia,Sulawesi Utara,Normal,Fog,YESS,NOO,117,429,7 jam 9 menit
Jakarta(CGK),Makassar (UPG),Sam Ratulangi International Airport (MDC),Lion Air,Sulawesi Utara,Normal,Fog,NOO,YESS,94,243,4 jam 3 menit
Jakarta(CGK),Makassar (UPG),Sam Ratulangi International Airport (MDC),Sriwijaya Air,Sulawesi Utara,Heavy,Rain,YESS,YESS,101,252,4 jam 12 menit
Jakarta(CGK),Makassar (UPG),Sam Ratulangi International Airport (MDC),Citilink,Sulawesi Utara,Normal,Rain,NOO,YESS,70,208,3 jam 28 menit
Jakarta(CGK),Makassar (UPG),Sam Ratulangi International Airport (MDC),AirAsia,Sulawesi Utara,Heavy,Rain,YESS,NOO,93,231,3 jam 51 menit
Jakarta(CGK),Makassar (UPG),Sam Ratulangi International Airport (MDC),Garuda Indonesia,Sulawesi Utara,Moderate,Partly Cloudy,NOO,YESS,84,276,4 jam 36 menit
Jakarta(CGK),Makassar (UPG),Mutiara SIS Al-Jufrie Airport (PLW),Lion Air,Sulawesi Tengah,Heavy,Clear,YESS,YESS,98,308,5 jam 8 menit
Jakarta(CGK),Makassar (UPG),Mutiara SIS Al-Jufrie Airport (PLW),Sriwijaya Air,Sulawesi Tengah,Moderate,Partly Cloudy,NOO,NOO,71,399,6 jam 39 menit
Jakarta(CGK),Makassar (UPG),Mutiara SIS Al-Jufrie Airport (PLW),Citilink,Sulawesi Tengah,Heavy,Clear,NOO,YESS,67,154,2 jam 34 menit
Jakarta(CGK),Makassar (UPG),Mutiara SIS Al-Jufrie Airport (PLW),AirAsia,Sulawesi Tengah,Moderate,Partly Cloudy,NOO,YESS,98,182,3 jam 2 menit
Jakarta(CGK),Makassar (UPG),Mutiara SIS Al-Jufrie Airport (PLW),Garuda Indonesia,Sulawesi Tengah,Normal,Rain,YESS,YESS,75,217,3 jam 37 menit
Jakarta(CGK),Langgur (LUV),Mutiara SIS Al-Jufrie Airport (PLW),Lion Air,Sulawesi Tengah,Heavy,Partly Cloudy,YESS,NOO,94,358,5 jam 58 menit
Jakarta(CGK),Langgur (LUV),Mutiara SIS Al-Jufrie Airport (PLW),Sriwijaya Air,Sulawesi Tengah,Normal,Rain,YESS,YESS,89,362,6 jam 2 menit
Jakarta(CGK),Langgur (LUV),Mutiara SIS Al-Jufrie Airport (PLW),Citilink,Sulawesi Tengah,Normal,Rain,NOO,NOO,105,277,4 jam 37 menit
Jakarta(CGK),Langgur (LUV),Mutiara SIS Al-Jufrie Airport (PLW),AirAsia,Sulawesi Tengah,Moderate,Fog,YESS,YESS,74,329,5 jam 29 menit
Jakarta(CGK),Langgur (LUV),Mutiara SIS Al-Jufrie Airport (PLW),Garuda Indonesia,Sulawesi Tengah,Normal,Rain,YESS,NOO,93,418,6 jam 58 menit
Jakarta(CGK),Makassar (UPG),Tampa Padang Airport (MJU),Lion Air, Sulawesi Barat,Heavy,Partly Cloudy,YESS,YESS,92,328,5 jam 28 menit
Jakarta(CGK),Makassar (UPG),Tampa Padang Airport (MJU),Sriwijaya Air, Sulawesi Barat,Heavy,Clear,NOO,YESS,97,422,7 jam 2 menit
Jakarta(CGK),Makassar (UPG),Tampa Padang Airport (MJU),Citilink, Sulawesi Barat,Moderate,Partly Cloudy,NOO,NOO,90,347,5 jam 47 menit
Jakarta(CGK),Makassar (UPG),Tampa Padang Airport (MJU),AirAsia, Sulawesi Barat,Moderate,Partly Cloudy,NOO,NOO,95,136,2 jam 16 menit
Jakarta(CGK),Makassar (UPG),Tampa Padang Airport (MJU),Garuda Indonesia, Sulawesi Barat,Normal,Partly Cloudy,YESS,NOO,60,379,6 jam 19 menit
Jakarta(CGK),Surabaya (SUB),Tampa Padang Airport (MJU),Lion Air, Sulawesi Barat,Moderate,Partly Cloudy,YESS,YESS,105,351,5 jam 51 menit
Jakarta(CGK),Surabaya (SUB),Tampa Padang Airport (MJU),Sriwijaya Air, Sulawesi Barat,Moderate,Partly Cloudy,NOO,NOO,64,439,7 jam 19 menit
Jakarta(CGK),Surabaya (SUB),Tampa Padang Airport (MJU),Citilink, Sulawesi Barat,Moderate,Partly Cloudy,NOO,NOO,115,340,5 jam 40 menit
Jakarta(CGK),Surabaya (SUB),Tampa Padang Airport (MJU),AirAsia, Sulawesi Barat,Moderate,Rain,NOO,NOO,69,409,6 jam 49 menit
Jakarta(CGK),Surabaya (SUB),Tampa Padang Airport (MJU),Garuda Indonesia, Sulawesi Barat,Normal,Rain,YESS,NOO,86,276,4 jam 36 menit
Jakarta(CGK),Langsung,Sultan Hasanuddin International Airport (UPG),Lion Air, Sulawesi Selatan,Normal,Partly Cloudy,NOO,YESS,75,274,4 jam 34 menit
Jakarta(CGK),Langsung,Sultan Hasanuddin International Airport (UPG),Sriwijaya Air, Sulawesi Selatan,Moderate,Rain,YESS,NOO,106,199,3 jam 19 menit
Jakarta(CGK),Langsung,Sultan Hasanuddin International Airport (UPG),Citilink, Sulawesi Selatan,Moderate,Partly Cloudy,YESS,YESS,70,146,2 jam 26 menit
Jakarta(CGK),Langsung,Sultan Hasanuddin International Airport (UPG),AirAsia, Sulawesi Selatan,Moderate,Clear,NOO,YESS,110,246,4 jam 6 menit
Jakarta(CGK),Langsung,Sultan Hasanuddin International Airport (UPG),Garuda Indonesia, Sulawesi Selatan,Moderate,Rain,NOO,YESS,111,144,2 jam 24 menit
Jakarta(CGK),Denpasar (DPS),Sultan Hasanuddin International Airport (UPG),Lion Air, Sulawesi Selatan,Normal,Rain,NOO,NOO,107,255,4 jam 15 menit
Jakarta(CGK),Denpasar (DPS),Sultan Hasanuddin International Airport (UPG),Sriwijaya Air, Sulawesi Selatan,Moderate,Partly Cloudy,YESS,YESS,57,158,2 jam 38 menit
Jakarta(CGK),Denpasar (DPS),Sultan Hasanuddin International Airport (UPG),Citilink, Sulawesi Selatan,Heavy,Partly Cloudy,NOO,YESS,64,440,7 jam 20 menit
Jakarta(CGK),Denpasar (DPS),Sultan Hasanuddin International Airport (UPG),AirAsia, Sulawesi Selatan,Moderate,Partly Cloudy,YESS,NOO,62,420,7 jam 0 menit
Jakarta(CGK),Denpasar (DPS),Sultan Hasanuddin International Airport (UPG),Garuda Indonesia, Sulawesi Selatan,Moderate,Fog,YESS,YESS,70,249,4 jam 9 menit
Jakarta(CGK),Makassar (UPG),Haluoleo Airport (KDI),Lion Air, Sulawesi Tenggara ,Normal,Partly Cloudy,YESS,NOO,114,318,5 jam 18 menit
Jakarta(CGK),Makassar (UPG),Haluoleo Airport (KDI),Sriwijaya Air, Sulawesi Tenggara ,Moderate,Partly Cloudy,NOO,YESS,62,290,4 jam 50 menit
Jakarta(CGK),Makassar (UPG),Haluoleo Airport (KDI),Citilink, Sulawesi Tenggara ,Moderate,Clear,NOO,YESS,95,141,2 jam 21 menit
Jakarta(CGK),Makassar (UPG),Haluoleo Airport (KDI),AirAsia, Sulawesi Tenggara ,Moderate,Fog,YESS,NOO,56,284,4 jam 44 menit
Jakarta(CGK),Makassar (UPG),Haluoleo Airport (KDI),Garuda Indonesia, Sulawesi Tenggara ,Heavy,Rain,YESS,YESS,101,432,7 jam 12 menit
Jakarta(CGK),Ambon (AMQ),Haluoleo Airport (KDI),Lion Air, Sulawesi Tenggara ,Heavy,Fog,NOO,YESS,68,347,5 jam 47 menit
Jakarta(CGK),Ambon (AMQ),Haluoleo Airport (KDI),Sriwijaya Air, Sulawesi Tenggara ,Heavy,Fog,YESS,NOO,116,292,4 jam 52 menit
Jakarta(CGK),Ambon (AMQ),Haluoleo Airport (KDI),Citilink, Sulawesi Tenggara ,Normal,Rain,NOO,NOO,110,210,3 jam 30 menit
Jakarta(CGK),Ambon (AMQ),Haluoleo Airport (KDI),AirAsia, Sulawesi Tenggara ,Moderate,Clear,YESS,NOO,110,291,4 jam 51 menit
Jakarta(CGK),Ambon (AMQ),Haluoleo Airport (KDI),Garuda Indonesia, Sulawesi Tenggara ,Moderate,Rain,YESS,NOO,89,323,5 jam 23 menit
Jakarta(CGK),Manado (MDC),Jalaluddin Airport (GTO),Lion Air,Gorontalo,Moderate,Clear,NOO,YESS,95,321,5 jam 21 menit
Jakarta(CGK),Manado (MDC),Jalaluddin Airport (GTO),Sriwijaya Air,Gorontalo,Moderate,Fog,NOO,NOO,91,258,4 jam 18 menit
Jakarta(CGK),Manado (MDC),Jalaluddin Airport (GTO),Citilink,Gorontalo,Normal,Partly Cloudy,NOO,NOO,66,326,5 jam 26 menit
Jakarta(CGK),Manado (MDC),Jalaluddin Airport (GTO),AirAsia,Gorontalo,Heavy,Clear,NOO,NOO,86,167,2 jam 47 menit
Jakarta(CGK),Manado (MDC),Jalaluddin Airport (GTO),Garuda Indonesia,Gorontalo,Normal,Partly Cloudy,NOO,YESS,55,382,6 jam 22 menit
Jakarta(CGK),Makassar (UPG),Jalaluddin Airport (GTO),Lion Air,Gorontalo,Normal,Clear,YESS,YESS,97,241,4 jam 1 menit
Jakarta(CGK),Makassar (UPG),Jalaluddin Airport (GTO),Sriwijaya Air,Gorontalo,Moderate,Rain,NOO,YESS,101,424,7 jam 4 menit
Jakarta(CGK),Makassar (UPG),Jalaluddin Airport (GTO),Citilink,Gorontalo,Normal,Partly Cloudy,YESS,NOO,115,412,6 jam 52 menit
Jakarta(CGK),Makassar (UPG),Jalaluddin Airport (GTO),AirAsia,Gorontalo,Heavy,Partly Cloudy,NOO,NOO,113,279,4 jam 39 menit
Jakarta(CGK),Makassar (UPG),Jalaluddin Airport (GTO),Garuda Indonesia,Gorontalo,Heavy,Fog,NOO,NOO,66,209,3 jam 29 menit
Jakarta(CGK),Langsung,Sultan Babullah Airport (TTE),Lion Air,Maluku ,Moderate,Partly Cloudy,YESS,NOO,92,210,3 jam 30 menit
Jakarta(CGK),Langsung,Sultan Babullah Airport (TTE),Sriwijaya Air,Maluku ,Moderate,Fog,NOO,NOO,72,405,6 jam 45 menit
Jakarta(CGK),Langsung,Sultan Babullah Airport (TTE),Citilink,Maluku ,Moderate,Fog,NOO,YESS,101,237,3 jam 57 menit
Jakarta(CGK),Langsung,Sultan Babullah Airport (TTE),AirAsia,Maluku ,Moderate,Rain,YESS,YESS,99,424,7 jam 4 menit
Jakarta(CGK),Langsung,Sultan Babullah Airport (TTE),Garuda Indonesia,Maluku ,Normal,Clear,YESS,YESS,75,201,3 jam 21 menit
Jakarta(CGK),Manado (MDC),Sultan Babullah Airport (TTE),Lion Air,Maluku ,Moderate,Partly Cloudy,YESS,YESS,63,364,6 jam 4 menit
Jakarta(CGK),Manado (MDC),Sultan Babullah Airport (TTE),Sriwijaya Air,Maluku ,Heavy,Rain,YESS,YESS,115,333,5 jam 33 menit
Jakarta(CGK),Manado (MDC),Sultan Babullah Airport (TTE),Citilink,Maluku ,Moderate,Rain,YESS,YESS,120,246,4 jam 6 menit
Jakarta(CGK),Manado (MDC),Sultan Babullah Airport (TTE),AirAsia,Maluku ,Moderate,Rain,NOO,NOO,111,276,4 jam 36 menit
Jakarta(CGK),Manado (MDC),Sultan Babullah Airport (TTE),Garuda Indonesia,Maluku ,Heavy,Fog,YESS,YESS,107,134,2 jam 14 menit
Jakarta(CGK),Manado (MDC),Sultan Babullah Airport (TTE),Lion Air,Maluku Utara,Moderate,Partly Cloudy,YESS,NOO,98,438,7 jam 18 menit
Jakarta(CGK),Manado (MDC),Sultan Babullah Airport (TTE),Sriwijaya Air,Maluku Utara,Moderate,Clear,NOO,NOO,115,178,2 jam 58 menit
Jakarta(CGK),Manado (MDC),Sultan Babullah Airport (TTE),Citilink,Maluku Utara,Moderate,Clear,NOO,YESS,99,342,5 jam 42 menit
Jakarta(CGK),Manado (MDC),Sultan Babullah Airport (TTE),AirAsia,Maluku Utara,Moderate,Rain,YESS,YESS,69,437,7 jam 17 menit
Jakarta(CGK),Manado (MDC),Sultan Babullah Airport (TTE),Garuda Indonesia,Maluku Utara,Moderate,Fog,NOO,YESS,56,382,6 jam 22 menit
Jakarta(CGK),Makassar (UPG),Sultan Babullah Airport (TTE),Lion Air,Maluku Utara,Heavy,Clear,NOO,YESS,118,391,6 jam 31 menit
Jakarta(CGK),Makassar (UPG),Sultan Babullah Airport (TTE),Sriwijaya Air,Maluku Utara,Normal,Clear,NOO,NOO,106,192,3 jam 12 menit
Jakarta(CGK),Makassar (UPG),Sultan Babullah Airport (TTE),Citilink,Maluku Utara,Moderate,Fog,YESS,NOO,88,300,5 jam 0 menit
Jakarta(CGK),Makassar (UPG),Sultan Babullah Airport (TTE),AirAsia,Maluku Utara,Moderate,Fog,NOO,YESS,107,402,6 jam 42 menit
Jakarta(CGK),Makassar (UPG),Sultan Babullah Airport (TTE),Garuda Indonesia,Maluku Utara,Moderate,Rain,YESS,NOO,115,405,6 jam 45 menit
Jakarta(CGK),Makassar (UPG),Rendani Airport (MKW),Lion Air,Papua Barat,Moderate,Partly Cloudy,YESS,YESS,93,344,5 jam 44 menit
Jakarta(CGK),Makassar (UPG),Rendani Airport (MKW),Sriwijaya Air,Papua Barat,Moderate,Fog,YESS,YESS,91,168,2 jam 48 menit
Jakarta(CGK),Makassar (UPG),Rendani Airport (MKW),Citilink,Papua Barat,Heavy,Partly Cloudy,YESS,YESS,62,194,3 jam 14 menit
Jakarta(CGK),Makassar (UPG),Rendani Airport (MKW),AirAsia,Papua Barat,Moderate,Fog,YESS,YESS,85,405,6 jam 45 menit
Jakarta(CGK),Makassar (UPG),Rendani Airport (MKW),Garuda Indonesia,Papua Barat,Moderate,Rain,NOO,YESS,117,267,4 jam 27 menit
Jakarta(CGK),Surabaya (SUB),Rendani Airport (MKW),Lion Air,Papua Barat,Heavy,Fog,YESS,NOO,109,213,3 jam 33 menit
Jakarta(CGK),Surabaya (SUB),Rendani Airport (MKW),Sriwijaya Air,Papua Barat,Moderate,Fog,NOO,YESS,77,340,5 jam 40 menit
Jakarta(CGK),Surabaya (SUB),Rendani Airport (MKW),Citilink,Papua Barat,Heavy,Fog,NOO,YESS,66,340,5 jam 40 menit
Jakarta(CGK),Surabaya (SUB),Rendani Airport (MKW),AirAsia,Papua Barat,Moderate,Rain,YESS,NOO,86,319,5 jam 19 menit
Jakarta(CGK),Surabaya (SUB),Rendani Airport (MKW),Garuda Indonesia,Papua Barat,Moderate,Partly Cloudy,YESS,YESS,88,360,6 jam 0 menit
Jakarta(CGK),Makassar (UPG),Domine Eduard Osok Airport (SOQ),Lion Air,Papua Barat Daya,Moderate,Rain,NOO,YESS,106,399,6 jam 39 menit
Jakarta(CGK),Makassar (UPG),Domine Eduard Osok Airport (SOQ),Sriwijaya Air,Papua Barat Daya,Heavy,Partly Cloudy,YESS,NOO,63,422,7 jam 2 menit
Jakarta(CGK),Makassar (UPG),Domine Eduard Osok Airport (SOQ),Citilink,Papua Barat Daya,Moderate,Fog,YESS,YESS,89,234,3 jam 54 menit
Jakarta(CGK),Makassar (UPG),Domine Eduard Osok Airport (SOQ),AirAsia,Papua Barat Daya,Heavy,Fog,YESS,YESS,120,152,2 jam 32 menit
Jakarta(CGK),Makassar (UPG),Domine Eduard Osok Airport (SOQ),Garuda Indonesia,Papua Barat Daya,Heavy,Clear,NOO,NOO,107,227,3 jam 47 menit
Jakarta(CGK),Surabaya (SUB),Domine Eduard Osok Airport (SOQ),Lion Air,Papua Barat Daya,Moderate,Partly Cloudy,NOO,YESS,79,128,2 jam 8 menit
Jakarta(CGK),Surabaya (SUB),Domine Eduard Osok Airport (SOQ),Sriwijaya Air,Papua Barat Daya,Normal,Rain,YESS,YESS,109,252,4 jam 12 menit
Jakarta(CGK),Surabaya (SUB),Domine Eduard Osok Airport (SOQ),Citilink,Papua Barat Daya,Heavy,Rain,YESS,NOO,91,134,2 jam 14 menit
Jakarta(CGK),Surabaya (SUB),Domine Eduard Osok Airport (SOQ),AirAsia,Papua Barat Daya,Moderate,Partly Cloudy,NOO,YESS,63,436,7 jam 16 menit
Jakarta(CGK),Surabaya (SUB),Domine Eduard Osok Airport (SOQ),Garuda Indonesia,Papua Barat Daya,Heavy,Clear,NOO,NOO,120,262,4 jam 22 menit
Jakarta(CGK),Jayapura (DJJ),Wamena Airport (WMX),Lion Air,Papua Pegunungan,Heavy,Clear,NOO,NOO,112,134,2 jam 14 menit
Jakarta(CGK),Jayapura (DJJ),Wamena Airport (WMX),Sriwijaya Air,Papua Pegunungan,Normal,Rain,YESS,NOO,109,371,6 jam 11 menit
